Name,Label,Owner,Ownership,Proof,Shanai,Kodomo,Type,SubType,Add1,Add2,Y,X,url,TEL,FAX,Full,AgeS,AgeE,Open,Close,H24,Memo,Extra,Temp,Holiday,Night,admitte0,admitte1,admitte2,admitte3,admitte4,admitte5,entry0,entry1,entry2,entry3,entry4,entry5,Vacancy,VacancyDate
キッズルーム  おいでおいで,キッズルーム  おいでおいで,,,,,,認可外保育所,,,,36.047057,136.186094,,,,,,,,,,,,,,,,,,,,,,,,,,,,
天使のひろば　ちるどらんど,天使のひろば　ちるどらんど,,,,,,認可外保育所,,,,36.060434,136.219327,,,,,,,,,,,,,,,,,,,,,,,,,,,,
子育てサポートセンター　あしおと,子育てサポートセンター　あしおと,,,,,,認可外保育所,,,,36.07789,136.231082,,,,,,,,,,,,,,,,,,,,,,,,,,,,
シルバーママサービス ひだまりの家,シルバーママサービス ひだまりの家,,,,,,認可外保育所,,,,36.082545,136.221157,,,,,,,,,,,,,,,,,,,,,,,,,,,,
県民せいきょう　ハーツきっず羽水,県民せいきょう　ハーツきっず羽水,,,,,,認可外保育所,,,,36.042422,136.227033,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福井市子ども一時預かり所「の～び・のび」,福井市子ども一時預かり所「の～び・のび」,,,,,,認可外保育所,,,,36.061831,136.222263,,,,,,,,,,,,,,,,,,,,,,,,,,,,
県民せいきょう　ハーツきっず学園,県民せいきょう　ハーツきっず学園,,,,,,認可外保育所,,,,36.069785,136.197755,,,,,,,,,,,,,,,,,,,,,,,,,,,,
県民せいきょう　ハーツきっず志比口,県民せいきょう　ハーツきっず志比口,,,,,,認可外保育所,,,,36.071219,136.237023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUPER　CENTER　PLANT－3,SUPER　CENTER　PLANT－3,,,,,,認可外保育所,,,,36.030133,136.148501,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福井県生活学習館チャイルドルーム,福井県生活学習館チャイルドルーム,,,,,,認可外保育所,,,,36.035859,136.231475,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福井市まちなか保育　えくぼ,福井市まちなか保育　えくぼ,,,,,,認可外保育所,,,,36.062822,136.218799,,,,,,,,,,,,,,,,,,,,,,,,,,,,
町屋福祉会　託児所「くるみ」,町屋福祉会　託児所「くるみ」,,,,,,認可外保育所,,,,36.064659,136.247461,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（学）あおい学園　新田塚自動車学校,（学）あおい学園　新田塚自動車学校,,,,,,認可外保育所,,,,36.118566,136.216822,,,,,,,,,,,,,,,,,,,,,,,,,,,,
こどもの国　あさむつ苑,こどもの国　あさむつ苑,,,,,,認可外保育所,,,,36.022593,136.197422,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（社）敦賀市シルバー人材センター　託児所「たんぽぽ」,（社）敦賀市シルバー人材センター　託児所「たんぽぽ」,,,,,,認可外保育所,,,,35.627104,136.047642,,,,,,,,,,,,,,,,,,,,,,,,,,,,
きらきら保育園,きらきら保育園,,,,,,認可外保育所,,,,35.634381,136.048303,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（学）あおい学園　つるが中央自動車学校,（学）あおい学園　つるが中央自動車学校,,,,,,認可外保育所,,,,35.629237,136.028819,,,,,,,,,,,,,,,,,,,,,,,,,,,,
わくわくくらぶ,わくわくくらぶ,,,,,,認可外保育所,,,,35.484136,135.773805,,,,,,,,,,,,,,,,,,,,,,,,,,,,
はましんわくわくステーション,はましんわくわくステーション,,,,,,認可外保育所,,,,35.495595,135.742045,,,,,,,,,,,,,,,,,,,,,,,,,,,,
シルバーママサービス ”すくすく”,シルバーママサービス ”すくすく”,,,,,,認可外保育所,,,,36.223948,136.203691,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPO法人子育て交流ひろば・ちっく・たっく,NPO法人子育て交流ひろば・ちっく・たっく,,,,,,認可外保育所,,,,35.973408,136.478747,,,,,,,,,,,,,,,,,,,,,,,,,,,,
県民せいきょう　ハーツきっずさばえ,県民せいきょう　ハーツきっずさばえ,,,,,,認可外保育所,,,,35.951381,136.175052,,,,,,,,,,,,,,,,,,,,,,,,,,,,
県民せいきょう　ハーツきっずたけふ,県民せいきょう　ハーツきっずたけふ,,,,,,認可外保育所,,,,35.919565,136.157858,,,,,,,,,,,,,,,,,,,,,,,,,,,,
複合型デイサービス「てまり」,複合型デイサービス「てまり」,,,,,,認可外保育所,,,,35.908975,136.15977,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPO法人子どもセンターピノキオ,NPO法人子どもセンターピノキオ,,,,,,認可外保育所,,,,35.904473,136.17038,,,,,,,,,,,,,,,,,,,,,,,,,,,,
県民せいきょう　ハーツきっずはるえ,県民せいきょう　ハーツきっずはるえ,,,,,,認可外保育所,,,,36.134567,136.223132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南越前町子ども一時預かりの家 おんぶ,南越前町子ども一時預かりの家 おんぶ,,,,,,認可外保育所,,,,35.844267,136.185811,,,,,,,,,,,,,,,,,,,,,,,,,,,,
おひさまるーむ,おひさまるーむ,,,,,,認可外保育所,,,,35.627734,135.983569,,,,,,,,,,,,,,,,,,,,,,,,,,,,
とらいあんぐる,とらいあんぐる,,,,,,認可外保育所,,,,36.067506,136.242681,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smiley Kid's,Smiley Kid's,,,,,,認可外保育所,,,,36.059784,136.222607,,,,,,,,,,,,,,,,,,,,,,,,,,,,
たいよう保育ルーム,たいよう保育ルーム,,,,,,認可外保育所,,,,36.051288,136.24764,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ニチイキッズふくい北四ツ居保育園,ニチイキッズふくい北四ツ居保育園,,,,,,認可外保育所,,,,36.067212,136.245473,,,,,,,,,,,,,,,,,,,,,,,,,,,,
企業主導型保育施設「すくすくの森」,企業主導型保育施設「すくすくの森」,,,,,,認可外保育所,,,,36.020575,136.216615,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山本電気工事（株）内　三びきのこぶた保育園,山本電気工事（株）内　三びきのこぶた保育園,,,,,,認可外保育所,,,,35.484361,135.777341,,,,,,,,,,,,,,,,,,,,,,,,,,,,
町屋福祉会　まちや保育園,町屋福祉会　まちや保育園,,,,,,認可外保育所,,,,35.913409,136.192768,,,,,,,,,,,,,,,,,,,,,,,,,,,,
白楽荘託児所　キッズの森,白楽荘託児所　キッズの森,,,,,,認可外保育所,,,,36.246475,136.155077,,,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人嶺南こころの病院　保育ルームあすいく,医療法人嶺南こころの病院　保育ルームあすいく,,,,,,認可外保育所,,,,35.465096,135.857983,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西部保育園,西部保育園,,,,,,認可保育所,,,,36.069254,136.208726,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北部保育園,北部保育園,,,,,,認可保育所,,,,36.072013,136.228412,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日之出保育園,日之出保育園,,,,,,認可保育所,,,,36.066003,136.234081,,,,,,,,,,,,,,,,,,,,,,,,,,,,
湊保育園,湊保育園,,,,,,認可保育所,,,,36.067532,136.203643,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西藤島保育園,西藤島保育園,,,,,,認可保育所,,,,36.0795,136.193939,,,,,,,,,,,,,,,,,,,,,,,,,,,,
御幸保育園,御幸保育園,,,,,,認可保育所,,,,36.057134,136.230507,,,,,,,,,,,,,,,,,,,,,,,,,,,,
社保育園,社保育園,,,,,,認可保育所,,,,36.035267,136.191488,,,,,,,,,,,,,,,,,,,,,,,,,,,,
花堂保育園,花堂保育園,,,,,,認可保育所,,,,36.040028,136.210676,,,,,,,,,,,,,,,,,,,,,,,,,,,,
河合保育園,河合保育園,,,,,,認可保育所,,,,36.118751,136.193053,,,,,,,,,,,,,,,,,,,,,,,,,,,,
清明保育園,清明保育園,,,,,,認可保育所,,,,36.027746,136.210223,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西安居保育園,西安居保育園,,,,,,認可保育所,,,,36.059799,136.135056,,,,,,,,,,,,,,,,,,,,,,,,,,,,
松本保育園,松本保育園,,,,,,認可保育所,,,,36.081298,136.226307,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上北野保育園,上北野保育園,,,,,,認可保育所,,,,36.062129,136.250208,,,,,,,,,,,,,,,,,,,,,,,,,,,,
麻生津保育園,麻生津保育園,,,,,,認可保育所,,,,36.001616,136.19805,,,,,,,,,,,,,,,,,,,,,,,,,,,,
啓蒙保育園,啓蒙保育園,,,,,,認可保育所,,,,36.077288,136.243625,,,,,,,,,,,,,,,,,,,,,,,,,,,,
牧島保育園,牧島保育園,,,,,,認可保育所,,,,36.079789,136.210528,,,,,,,,,,,,,,,,,,,,,,,,,,,,
本郷保育園,本郷保育園,,,,,,認可保育所,,,,36.116803,136.141447,,,,,,,,,,,,,,,,,,,,,,,,,,,,
森田東保育園,森田東保育園,,,,,,認可保育所,,,,36.113231,136.235168,,,,,,,,,,,,,,,,,,,,,,,,,,,,
森田浜保育園,森田浜保育園,,,,,,認可保育所,,,,36.114576,136.241529,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東郷保育園,東郷保育園,,,,,,認可保育所,,,,36.015505,136.273003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
森田栄保育園,森田栄保育園,,,,,,認可保育所,,,,36.107728,136.223038,,,,,,,,,,,,,,,,,,,,,,,,,,,,
森田栄保育園古市分園,森田栄保育園古市分園,,,,,,認可保育所,,,,36.103876,136.226266,,,,,,,,,,,,,,,,,,,,,,,,,,,,
みやま保育園,みやま保育園,,,,,,認可保育所,,,,35.998256,136.364515,,,,,,,,,,,,,,,,,,,,,,,,,,,,
緑ケ丘保育園,緑ケ丘保育園,,,,,,認可保育所,,,,36.091776,136.03382,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中藤保育園,中藤保育園,,,,,,認可保育所,,,,36.096524,136.235054,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西光寺保育園,西光寺保育園,,,,,,認可保育所,,,,36.058437,136.213178,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新田塚保育園,新田塚保育園,,,,,,認可保育所,,,,36.092377,136.205832,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高木保育園,高木保育園,,,,,,認可保育所,,,,36.099427,136.231554,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仁愛保育園,仁愛保育園,,,,,,認可保育所,,,,36.105992,136.21795,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大和田保育園,大和田保育園,,,,,,認可保育所,,,,36.098628,136.258463,,,,,,,,,,,,,,,,,,,,,,,,,,,,
曙保育園,曙保育園,,,,,,認可保育所,,,,36.037168,136.013666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
めいりん保育園,めいりん保育園,,,,,,認可保育所,,,,36.042853,136.222761,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ゆきんこ森田保育園,ゆきんこ森田保育園,,,,,,認可保育所,,,,36.11738,136.223602,,,,,,,,,,,,,,,,,,,,,,,,,,,,
気比保育園,気比保育園,,,,,,認可保育所,,,,35.657743,136.070171,,,,,,,,,,,,,,,,,,,,,,,,,,,,
松原保育園,松原保育園,,,,,,認可保育所,,,,35.651207,136.053718,,,,,,,,,,,,,,,,,,,,,,,,,,,,
黒河保育園,黒河保育園,,,,,,認可保育所,,,,35.612373,136.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金山保育園,金山保育園,,,,,,認可保育所,,,,35.624374,136.035324,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東浦保育園,東浦保育園,,,,,,認可保育所,,,,35.744863,136.100275,,,,,,,,,,,,,,,,,,,,,,,,,,,,
木崎保育園,木崎保育園,,,,,,認可保育所,,,,35.641891,136.044703,,,,,,,,,,,,,,,,,,,,,,,,,,,,
つるが保育園,つるが保育園,,,,,,認可保育所,,,,35.648333,136.07851,,,,,,,,,,,,,,,,,,,,,,,,,,,,
粟野保育園,粟野保育園,,,,,,認可保育所,,,,35.630531,136.042221,,,,,,,,,,,,,,,,,,,,,,,,,,,,
櫛川保育園,櫛川保育園,,,,,,認可保育所,,,,35.653262,136.042983,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三島保育園,三島保育園,,,,,,認可保育所,,,,35.6455,136.065439,,,,,,,,,,,,,,,,,,,,,,,,,,,,
櫛林保育園,櫛林保育園,,,,,,認可保育所,,,,35.623971,136.046034,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中郷保育園,中郷保育園,,,,,,認可保育所,,,,35.628082,136.07185,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東郷保育園,東郷保育園,,,,,,認可保育所,,,,35.649264,136.091844,,,,,,,,,,,,,,,,,,,,,,,,,,,,
沓見保育園,沓見保育園,,,,,,認可保育所,,,,35.6406,136.018617,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中郷西保育園,中郷西保育園,,,,,,認可保育所,,,,35.631715,136.061204,,,,,,,,,,,,,,,,,,,,,,,,,,,,
松乃栄保育園,松乃栄保育園,,,,,,認可保育所,,,,35.655926,136.06027,,,,,,,,,,,,,,,,,,,,,,,,,,,,
晴明保育園,晴明保育園,,,,,,認可保育所,,,,35.655957,136.067991,,,,,,,,,,,,,,,,,,,,,,,,,,,,
藤ケ丘保育園,藤ケ丘保育園,,,,,,認可保育所,,,,35.654522,136.085275,,,,,,,,,,,,,,,,,,,,,,,,,,,,
つくしんぼ保育園,つくしんぼ保育園,,,,,,認可保育所,,,,35.6193,136.0524,,,,,,,,,,,,,,,,,,,,,,,,,,,,
遠敷保育園,遠敷保育園,,,,,,認可保育所,,,,35.478118,135.781041,,,,,,,,,,,,,,,,,,,,,,,,,,,,
国富保育園,国富保育園,,,,,,認可保育所,,,,35.500583,135.774489,,,,,,,,,,,,,,,,,,,,,,,,,,,,
口名田保育園,口名田保育園,,,,,,認可保育所,,,,35.457669,135.718827,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中名田保育園,中名田保育園,,,,,,認可保育所,,,,35.426541,135.676072,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加斗保育園,加斗保育園,,,,,,認可保育所,,,,35.483266,135.677347,,,,,,,,,,,,,,,,,,,,,,,,,,,,
内外海保育園,内外海保育園,,,,,,認可保育所,,,,35.528548,135.754482,,,,,,,,,,,,,,,,,,,,,,,,,,,,
松永保育園,松永保育園,,,,,,認可保育所,,,,35.473966,135.796354,,,,,,,,,,,,,,,,,,,,,,,,,,,,
聖ルカ乳児保育園,聖ルカ乳児保育園,,,,,,認可保育所,,,,35.499379,135.750377,,,,,,,,,,,,,,,,,,,,,,,,,,,,
